Bill.Doc.,Item,Material,MPG,Billed qty,CnTy,    Amount,CondRecNo.,Agreement,  Cond.value,SOff.,Sold-to pt,Name 1,SOrg.,DChl,BillT,Bill. Date,SaTy,POtyp,Product hierarchy,MG3*,MG4*,Created,OrdRs,Sales Doc.,Doc. Date,Purchase order no.,Pricing dt
6876083702,30,DSCHX200VB.CEE8,,20,ZNET,50,,,"1.000,00",PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627653,11.09.2013,FY13 Stock Prot DSCH,13.03.2012
6876083703,141,DSCHX200VB.CEE8,,3,ZNET,50,,,150,PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627654,11.09.2013,FY13 Stock Prot DSCH,15.03.2012
6876083704,10,DSCHX200VB.CEE8,,57,ZNET,50,,,"2.850,00",PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627655,11.09.2013,FY13 Stock Prot DSCH,15.03.2012
6876083705,43,DSCHX200VB.CEE8,,30,ZNET,50,,,"1.500,00",PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627656,11.09.2013,FY13 Stock Prot DSCH,15.03.2012
6876083705,46,DSCHX200VB.CEE8,,40,ZNET,50,,,"2.000,00",PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627656,11.09.2013,FY13 Stock Prot DSCH,15.03.2012
6876083706,90,DSCHX200VB.CEE8,,40,ZNET,50,,,"2.000,00",PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627657,11.09.2013,FY13 Stock Prot DSCH,21.06.2012
6876083707,34,DSCHX200VB.CEE8,,16,ZNET,50,,,800,PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627658,11.09.2013,FY13 Stock Prot DSCH,18.07.2012
6876083708,42,DSCHX200VB.CEE8,,70,ZNET,50,,,"3.500,00",PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627659,11.09.2013,FY13 Stock Prot DSCH,18.07.2012
6876083709,22,DSCHX200VB.CEE8,,10,ZNET,50,,,500,PL00,280040867,Terg S.A.,PL10,2,G2,12.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67627660,11.09.2013,FY13 Stock Prot DSCH,18.07.2012
6876083807,10,DSCWX200B.CE3,,31,ZNET,106,,,"3.286,00",PL00,280040450,Euro-Net Sp. Z O.O.,PL10,2,G2,13.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67630283,12.09.2013,FY13 sell out suppor,26.02.2013
6876083808,10,DSCWX200B.CE3,,92,ZNET,106,,,"9.752,00",PL00,280040450,Euro-Net Sp. Z O.O.,PL10,2,G2,13.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67630284,12.09.2013,FY13 sell out suppor,05.03.2013
6876083809,20,DSCWX200S.CE3,,22,ZNET,106,,,"2.332,00",PL00,280040450,Euro-Net Sp. Z O.O.,PL10,2,G2,13.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67630285,12.09.2013,FY13 sell out suppor,13.02.2013
6876084017,10,DSCHX300B.CE3,,1,ZNET,120,,,120,PL00,280049001,Media Markt Polska Sp. z o.o.,PL10,2,G2,18.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67639666,17.09.2013,FY13 sell out suppor,13.03.2013
6876084018,20,DSCHX300B.CE3,,2,ZNET,120,,,240,PL00,280049002,Media Markt Polska Sp. z o.o.,PL10,2,G2,18.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67639693,17.09.2013,FY13 sell out suppor,13.03.2013
6876084019,130,DSCHX300B.CE3,,1,ZNET,120,,,120,PL00,280049002,Media Markt Polska Sp. z o.o.,PL10,2,G2,18.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67639694,17.09.2013,FY13 sell out suppor,10.04.2013
6876084021,10,DSCHX300B.CE3,,1,ZNET,120,,,120,PL00,280049003,Media Markt Polska Sp. z o.o.,PL10,2,G2,18.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67639667,17.09.2013,FY13 sell out suppor,13.03.2013
6876084022,10,DSCHX300B.CE3,,1,ZNET,120,,,120,PL00,280049004,Media Markt Polska Sp. z o.o.,PL10,2,G2,18.09.2013,CR,ZZ01,SCPCDIMDSCCYBRCYBS,100,,HUPERJEK,C03,67639668,17.09.2013,FY13 sell out suppor,13.03.2013
